Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR17470196	Sequencing data of HG00135	Illumina MiSeq	1419	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470196/SRR17470196.sra	SRR17470196.sra	SRR17470196_Sequencing_data_of_HG00135.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17470196/SRR17470196_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/096/SRR17470196/SRR17470196_1.fastq.gz	SRR17470196_1.fastq.gz	SRR17470196_Sequencing_data_of_HG00135_1.fastq.gz
SRR17470196	Sequencing data of HG00135	Illumina MiSeq	1419	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470196/SRR17470196.sra	SRR17470196.sra	SRR17470196_Sequencing_data_of_HG00135.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/096/SRR17470196/SRR17470196_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/096/SRR17470196/SRR17470196_2.fastq.gz	SRR17470196_2.fastq.gz	SRR17470196_Sequencing_data_of_HG00135_2.fastq.gz
SRR17470198	Sequencing data of HG03280	Illumina MiSeq	1335	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470198/SRR17470198.sra	SRR17470198.sra	SRR17470198_Sequencing_data_of_HG03280.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/098/SRR17470198/SRR17470198_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/098/SRR17470198/SRR17470198_1.fastq.gz	SRR17470198_1.fastq.gz	SRR17470198_Sequencing_data_of_HG03280_1.fastq.gz
SRR17470198	Sequencing data of HG03280	Illumina MiSeq	1335	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470198/SRR17470198.sra	SRR17470198.sra	SRR17470198_Sequencing_data_of_HG03280.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/098/SRR17470198/SRR17470198_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/098/SRR17470198/SRR17470198_2.fastq.gz	SRR17470198_2.fastq.gz	SRR17470198_Sequencing_data_of_HG03280_2.fastq.gz
SRR17470197	Sequencing data of HG01599	Illumina MiSeq	1351	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470197/SRR17470197.sra	SRR17470197.sra	SRR17470197_Sequencing_data_of_HG01599.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/097/SRR17470197/SRR17470197_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/097/SRR17470197/SRR17470197_1.fastq.gz	SRR17470197_1.fastq.gz	SRR17470197_Sequencing_data_of_HG01599_1.fastq.gz
SRR17470197	Sequencing data of HG01599	Illumina MiSeq	1351	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470197/SRR17470197.sra	SRR17470197.sra	SRR17470197_Sequencing_data_of_HG01599.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/097/SRR17470197/SRR17470197_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/097/SRR17470197/SRR17470197_2.fastq.gz	SRR17470197_2.fastq.gz	SRR17470197_Sequencing_data_of_HG01599_2.fastq.gz
SRR17470200	Sequencing data of NA07037	Illumina MiSeq	1204	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470200/SRR17470200.sra	SRR17470200.sra	SRR17470200_Sequencing_data_of_NA07037.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/000/SRR17470200/SRR17470200_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/000/SRR17470200/SRR17470200_1.fastq.gz	SRR17470200_1.fastq.gz	SRR17470200_Sequencing_data_of_NA07037_1.fastq.gz
SRR17470200	Sequencing data of NA07037	Illumina MiSeq	1204	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470200/SRR17470200.sra	SRR17470200.sra	SRR17470200_Sequencing_data_of_NA07037.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/000/SRR17470200/SRR17470200_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/000/SRR17470200/SRR17470200_2.fastq.gz	SRR17470200_2.fastq.gz	SRR17470200_Sequencing_data_of_NA07037_2.fastq.gz
SRR17470199	Sequencing data of HG00231	Illumina MiSeq	1123	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470199/SRR17470199.sra	SRR17470199.sra	SRR17470199_Sequencing_data_of_HG00231.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/099/SRR17470199/SRR17470199_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/099/SRR17470199/SRR17470199_1.fastq.gz	SRR17470199_1.fastq.gz	SRR17470199_Sequencing_data_of_HG00231_1.fastq.gz
SRR17470199	Sequencing data of HG00231	Illumina MiSeq	1123	1641448800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR174/SRR17470199/SRR17470199.sra	SRR17470199.sra	SRR17470199_Sequencing_data_of_HG00231.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/099/SRR17470199/SRR17470199_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR174/099/SRR17470199/SRR17470199_2.fastq.gz	SRR17470199_2.fastq.gz	SRR17470199_Sequencing_data_of_HG00231_2.fastq.gz
